smiles,base_material,dielectric_constant,tg_celsius,density_g_cm3,thickness_nm,applied_voltage,temp_c,sim_capacitance_F,sim_status
NCC(Cl)CC(Cl)CC,PVC,3.466261097030329,75.93335048635983,1.4036817210478951,1699.3763670313149,204.06070148346905,200,0.0,Failed
ClCC(C)(C(=O)OC)CC(C)(C(=O)OC)C,PMMA,2.9914786583506583,106.36073402901356,1.190327956674407,4910.486360704236,127.45069855101973,200,0.0,Failed
NCC(F)(F)CC(F)(F)C,PVDF,12.085385714970018,-39.49086870308178,1.823052243772328,4408.4290241246745,215.3665066454353,100,0.0,Failed
c1ccccc1CC(C)(C(=O)OC)CC(C)(C(=O)OC)OC,PMMA,3.0889718487451834,100.68089442465924,1.218186519584227,1187.013425227511,367.4517641901708,25,0.0,Failed
COOc1ccc(cc1)C(C)(C)c2ccc(cc2)OC(=O)O,Polycarbonate,2.8094812787329047,141.37868764739002,1.1932206353979176,1898.9579171315568,120.8818932102592,300,137.67891861938,Success
FC(F)(F)CCCCCC(F)(F)F,PE,2.1538987330668795,-117.61425246028756,0.9622883086412228,3701.155196149301,269.44474106719946,25,0.0,Failed
FC(F)(F)CC(C)CC(C)C,PP,2.25170207164027,-14.109630051734566,0.9138230764544728,2658.3860632486776,81.34594927081086,200,0.0,Failed
CC(=O)CC(F)(F)CC(F)(F)CC,PVDF,11.97991881801752,-37.20491778349681,1.7765214919680183,3694.716523907444,127.9201274800564,100,292.991435480578,Success
ClCCCCCCCC,PE,2.254000828574857,-117.96294343696258,0.8772594767571683,4037.3428214095698,246.3802543634992,25,0.0,Failed
CC(=O)C(F)(F)C(F)(F)C#N,PTFE,2.1388372787174226,117.45707104075804,2.2295911085098887,3040.7297945263017,55.93422866462226,25,0.0,Failed
ClCC(C)CC(C)CCC,PP,2.2489660030567555,-14.02428674553864,0.9454725421170908,4473.946013509391,495.7775064660225,100,0.0,Failed
COCC(c1ccccc1)CC(c1ccccc1)C#N,Polystyrene,2.4672803391952702,102.519326892011,1.0737354732450697,3476.675342731513,200.51313832684068,300,0.0,Failed
NCC(Cl)CC(Cl)CCC,PVC,3.5576653225000743,83.49537425811691,1.3693179833618987,4894.26602577506,226.62944619140617,25,69.658757980976,Success
